project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,source_url,collected_at
I-125,谚语(哈萨克族谚语),民间文学,5,2021,extension,新疆维吾尔自治区伊犁哈萨克自治州特克斯县,新疆维吾尔自治区,特克斯县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-126,卢沟桥传说,民间文学,4,2014,new,北京市丰台区,北京市,北京市丰台区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-127,鬼谷子传说,民间文学,4,2014,new,河北省临漳县,河北省,临漳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-128,东海孝妇传说,民间文学,4,2014,new,江苏省连云港市,江苏省,连云港市孝文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-129,刘阮传说,民间文学,4,2014,new,浙江省天台县,浙江省,台州市天台山文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-13,河西宝卷,民间文学,1,2006,new,甘肃省武威市凉州区,甘肃省,凉州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-13,河西宝卷,民间文学,1,2006,new,甘肃省酒泉市肃州区,甘肃省,肃州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-13,宝卷(靖江宝卷),民间文学,2,2008,extension,江苏省靖江市,江苏省,靖江市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-13,宝卷(河西宝卷),民间文学,2,2008,extension,甘肃省张掖市,甘肃省,张掖市文化馆(张掖市非物质文化遗产传承保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-13,宝卷(吴地宝卷),民间文学,4,2014,extension,江苏省苏州市,江苏省,苏州市非物质文化遗产保护管理办公室(苏州市文化研究中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
