subitem_id,project_code,project_code_raw,project_code_normalized,project_num,project_name,category,batch_no,publish_year,entry_type,region_raw,province,province_map_name,city_code,county_code,applicant_region_or_unit,protection_unit_raw,protection_unit_normalized,source_url,collected_at,raw_record_id,manual_review_status
subitem_12215,I-17,I-17,I-17,I-017_01_500107,走马镇民间故事,民间文学,1,2006,new,重庆市九龙坡区,重庆市,重庆市,500100,500107,"重庆市九龙坡区 <br /> <br /> 走马镇是重庆市九龙坡区的一个镇子,这里流传着一种由以“走马”(赶马)为职业的人群口头创作并传承的民间故事,人们通常将其称作“走马故事”",重庆市九龙坡区文化馆,重庆市九龙坡区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12215,
subitem_12216,I-18,I-18,I-18,I-018_01_211121,古渔雁民间故事,民间文学,1,2006,new,辽宁省大洼县,辽宁省,辽宁省,211100,211121,"辽宁省大洼县 <br /> <br /> 古往今来,辽河口海域的二界沟小镇一直是特殊的打鱼人群体——“古渔雁”的落脚聚集之地",盘锦市大洼区文化体育旅游发展促进中心（大洼区总工会文体活动管理中心）,盘锦市大洼区文化体育旅游发展促进中心(大洼区总工会文体活动管理中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12216,
subitem_12217,I-19,I-19,I-19,I-019_01_211324,喀左东蒙民间故事,民间文学,1,2006,new,辽宁省喀喇沁左翼蒙古族自治县,辽宁省,辽宁省,211300,211324,"辽宁省喀喇沁左翼蒙古族自治县 <br /> <br /> 喀喇沁及东蒙各部的蒙古族较早就定居下来,由游牧转向农耕",喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心,喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12217,
subitem_12218,I-20,I-20,I-20,I-020_01_210181,谭振山民间故事,民间文学,1,2006,new,辽宁省新民市,辽宁省,辽宁省,210100,210181,"辽宁省新民市 <br /> <br /> 谭振山,男,著名民间故事讲述家,祖籍河北,1925年农历十一月十日生于辽宁省新民市罗家房乡太平庄村",新民市文化馆（新民市考古和文物保护中心）,新民市文化馆(新民市考古和文物保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12218,
subitem_12219,I-21,I-21,I-21,I-021_01_130984,河间歌诗,民间文学,1,2006,new,河北省河间市,河北省,河北省,130900,130984,"河北省河间市 <br /> <br /> 河间市地处河北省中南部的冀中平原腹地,因位于滹沱、中堡二河之间而得名(另一说为九河之间)",河间市文化馆,河间市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12219,
subitem_12220,I-22,I-22,I-22,I-022_01_320500,吴歌,民间文学,1,2006,new,江苏省苏州市,江苏省,江苏省,320500,,"江苏省苏州市 <br /> <br /> 吴歌是吴语方言地区广大民众的口头文学创作,发源于江苏省东南部,苏州地区是吴歌产生发展的中心地区",苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）,苏州市非物质文化遗产保护管理办公室(苏州市文化研究中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12220,
subitem_12222,I-22,I-22,I-22,I-022_02_320200,吴歌,民间文学,2,2008,extension,江苏省无锡市,江苏省,江苏省,320200,,"江苏省无锡市 <br /> <br /> 吴地民歌民谣总称“吴歌”,它是吴文化的重要组成部分",无锡市锡山区吴歌锡剧研究会,无锡市锡山区吴歌锡剧研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12222,
subitem_12221,I-22,I-22,I-22,I-022_02_310118,吴歌,民间文学,2,2008,extension,上海市青浦区,上海市,上海市,310100,310118,"上海市青浦区 <br /> <br /> 吴地民歌民谣总称“吴歌”,它是吴文化的重要组成部分",上海市青浦区文化馆（上海青浦画院）,上海市青浦区文化馆(上海青浦画院),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12221,
subitem_12223,I-23,I-23,I-23,I-023_01_451281,刘三姐歌谣,民间文学,1,2006,new,广西壮族自治区宜州市,广西壮族自治区,广西壮族自治区,451200,451281,"广西壮族自治区宜州市 <br /> <br /> “如今广西成歌海,都是三姐亲口传",河池市宜州区刘三姐文化传承中心（河池市宜州区非物质文化遗产保护中心）,河池市宜州区刘三姐文化传承中心(河池市宜州区非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12223,
subitem_12224,I-24,I-24,I-24,I-024_01_532500,四季生产调,民间文学,1,2006,new,云南省红河哈尼族彝族自治州,云南省,云南省,532500,,"云南省红河哈尼族彝族自治州 <br /> <br /> 哈尼族四季生产调流传于云南省红河哈尼族彝族自治州红河、元阳、绿春、金平、建水等县的哈尼族聚居区,其起源时间的下限不晚于唐代",红河哈尼族彝族自治州非物质文化遗产保护中心,红河哈尼族彝族自治州非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12224,
subitem_12227,I-25,I-25,I-25,I-025_01_653000,玛纳斯,民间文学,1,2006,new,新疆维吾尔自治区克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,新疆维吾尔自治区,653000,,"新疆维吾尔自治区克孜勒苏柯尔克孜自治州 <br /> <br /> 《玛纳斯》是柯尔克孜族的英雄史诗,描写了英雄玛纳斯及其七代子孙前仆后继、率领柯尔克孜人民与外来侵略者和各种邪恶势力进行斗争的事迹",克孜勒苏柯尔克孜自治州非物质文化遗产保护（玛纳斯保护研究）中心,克孜勒苏柯尔克孜自治州非物质文化遗产保护(玛纳斯保护研究)中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12227,
