project_code,project_name,category,min_batch,max_batch,first_publish_year,province_list,protection_units,subitem_count
I-65,达古达楞格莱标,民间文学,2,2,2008,云南省,1,1
I-66,哈尼哈吧,民间文学,2,2,2008,云南省,1,1
I-67,召树屯与喃木诺娜,民间文学,2,2,2008,云南省,1,1
I-68,米拉尕黑,民间文学,2,2,2008,甘肃省,1,1
I-69,康巴拉伊,民间文学,2,2,2008,青海省,1,1
I-7,梁祝传说,民间文学,1,1,2006,山东省、江苏省、河南省、浙江省,6,6
I-70,汗青格勒,民间文学,2,2,2008,青海省,1,1
I-71,维吾尔族达斯坦,民间文学,2,2,2008,新疆维吾尔自治区,1,1
I-72,哈萨克族达斯坦,民间文学,2,2,2008,新疆维吾尔自治区,3,3
I-73,珠郎娘美,民间文学,2,2,2008,贵州省,2,2
I-74,司岗里,民间文学,2,3,2008,云南省,2,2
I-75,彝族克智,民间文学,2,2,2008,四川省,1,1
I-76,苗族贾理,民间文学,2,2,2008,贵州省,1,1
I-77,藏族婚宴十八说,民间文学,2,2,2008,青海省,1,1
I-78,童谣(北京童谣),民间文学,2,5,2008,云南省、北京市、浙江省、福建省,4,4
I-79,桐城歌,民间文学,2,2,2008,安徽省,1,1
I-8,孟姜女传说,民间文学,1,4,2006,山东省、河北省、湖南省,5,5
I-80,土家族梯玛歌,民间文学,2,2,2008,湖南省,1,1
I-81,雷州歌,民间文学,2,2,2008,广东省,1,1
I-82,壮族嘹歌,民间文学,2,2,2008,广西壮族自治区,1,1
I-83,柯尔克孜约隆,民间文学,2,2,2008,新疆维吾尔自治区,2,2
I-84,笑话(万荣笑话),民间文学,2,2,2008,山西省,1,1
I-85,天坛传说,民间文学,3,3,2011,北京市,1,1
I-86,曹雪芹传说,民间文学,3,3,2011,北京市,1,1
I-87,契丹始祖传说,民间文学,3,3,2011,河北省,1,1
I-88,赵氏孤儿传说,民间文学,3,3,2011,山西省,1,1
I-89,白马拖缰传说,民间文学,3,3,2011,山西省,1,1
I-9,董永传说,民间文学,1,3,2006,山东省、山西省、江苏省、河南省、湖北省,7,7
I-90,舜的传说,民间文学,3,3,2011,山东省、山西省,2,2
I-91,禹的传说,民间文学,3,5,2011,四川省、湖北省,3,3
I-92,防风传说,民间文学,3,3,2011,浙江省,1,1
I-93,盘瓠传说,民间文学,3,3,2011,湖南省,1,1
I-94,庄子传说,民间文学,3,3,2011,山东省,1,1
I-95,柳毅传说,民间文学,3,3,2011,山东省,1,1
I-96,禅宗祖师传说,民间文学,3,5,2011,广东省、湖北省,2,2
I-97,布袋和尚传说,民间文学,3,3,2011,浙江省,1,1
I-98,钱王传说,民间文学,3,3,2011,浙江省,1,1
I-99,苏东坡传说,民间文学,3,4,2011,浙江省、湖北省,2,2
II-1,左权开花调,传统音乐,1,1,2006,山西省,1,1
II-10,桑植民歌,传统音乐,1,1,2006,湖南省,1,1
II-100,森林号子(长白山森林号子),传统音乐,2,2,2008,吉林省、黑龙江省,2,2
II-101,搬运号子(梁平抬儿调),传统音乐,2,2,2008,重庆市,2,2
II-102,制作号子(竹麻号子),传统音乐,2,2,2008,四川省,1,1
II-103,鲁南五大调,传统音乐,2,2,2008,山东省,2,2
II-104,老河口丝弦,传统音乐,2,2,2008,湖北省,1,1
II-105,蒙古族民歌(科尔沁叙事民歌),传统音乐,2,5,2008,内蒙古自治区、吉林省、新疆维吾尔自治区、辽宁省、青海省,9,9
II-106,鄂温克族民歌(鄂温克叙事民歌),传统音乐,2,2,2008,内蒙古自治区,1,1
II-107,鄂伦春族民歌(鄂伦春族赞达仁),传统音乐,2,2,2008,内蒙古自治区、黑龙江省,2,2
II-108,达斡尔族民歌(达斡尔扎恩达勒),传统音乐,2,2,2008,内蒙古自治区、黑龙江省,2,2
