inheritor_id,name,gender,ethnicity,project_code,project_code_raw,child_num,project_name,category,region_raw,province,inheritor_batch_no,publish_year,source_url,collected_at,raw_record_id
inheritor_2632,李发秀,女,土族,VII-24,VII-24,VII-024_01_630223,土族盘绣,传统美术,青海省互助土族自治县,青海省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2632
inheritor_2633,石九梅,女,汉族,VII-25,VII-25,VII-025_01_421127,挑花(黄梅挑花),传统美术,湖北省黄梅县,湖北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2633
inheritor_2634,奉雪妹,女,瑶族,VII-25,VII-25,VII-025_01_430524,挑花(花瑶挑花),传统美术,湖南省隆回县,湖南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2634
inheritor_2635,贺梅英,女,汉族,VII-26,VII-26,VII-026_01_621000,庆阳香包绣制,传统美术,甘肃省庆阳市,甘肃省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2635
inheritor_2636,孙森,男,汉族,VII-27,VII-27,VII-027_01_110101,象牙雕刻,传统美术,北京市崇文区,北京市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2636
inheritor_2637,王树文,男,汉族,VII-27,VII-27,VII-027_01_110101,象牙雕刻,传统美术,北京市崇文区,北京市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2637
inheritor_2638,江春源,男,汉族,VII-28,VII-28,VII-028_01_321000,扬州玉雕,传统美术,江苏省扬州市,江苏省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2638
inheritor_2639,顾永骏,男,汉族,VII-28,VII-28,VII-028_01_321000,扬州玉雕,传统美术,江苏省扬州市,江苏省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2639
inheritor_2640,王运岫,男,满族,VII-29,VII-29,VII-029_01_210323,岫岩玉雕,传统美术,辽宁省岫岩满族自治县,辽宁省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2640
inheritor_2641,李洪斌,男,汉族,VII-30,VII-30,VII-030_01_210900,阜新玛瑙雕,传统美术,辽宁省阜新市,辽宁省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2641
inheritor_2642,黄越肃,男,汉族,VII-31,VII-31,VII-031_01_620900,夜光杯雕,传统美术,甘肃省酒泉市,甘肃省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2642
inheritor_2643,卢进桥,男,汉族,VII-34,VII-34,VII-034_01_130634,曲阳石雕,传统美术,河北省曲阳县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2643
inheritor_2644,甄彦苍,男,汉族,VII-34,VII-34,VII-034_01_130634,曲阳石雕,传统美术,河北省曲阳县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2644
inheritor_2645,冯久和,男,汉族,VII-35,VII-35,VII-035_01_350100,寿山石雕,传统美术,福建省福州市,福建省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2645
inheritor_2646,林亨云,男,汉族,VII-35,VII-35,VII-035_01_350100,寿山石雕,传统美术,福建省福州市,福建省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2646
inheritor_2647,方新中,男,汉族,VII-37,VII-37,VII-037_01_341000,徽州三雕,传统美术,安徽省黄山市,安徽省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2647
inheritor_2648,冯有进,男,汉族,VII-37,VII-37,VII-037_01_341000,徽州三雕,传统美术,安徽省黄山市,安徽省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2648
inheritor_2649,李得浓,男,汉族,VII-40,VII-40,VII-040_01_445100,潮州木雕,传统美术,广东省潮州市,广东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=2,2026-08-06T10:35:19+00:00,2649
inheritor_2650,陈培臣,男,汉族,VII-40,VII-40,VII-040_01_445100,潮州木雕,传统美术,广东省潮州市,广东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=2,2026-08-06T10:35:19+00:00,2650
inheritor_2651,陆光正,男,汉族,VII-43,VII-43,VII-043_01_330783,东阳木雕,传统美术,浙江省东阳市,浙江省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=2,2026-08-06T10:35:19+00:00,2651
inheritor_2652,冯文土,男,汉族,VII-43,VII-43,VII-043_01_330783,东阳木雕,传统美术,浙江省东阳市,浙江省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=2,2026-08-06T10:35:19+00:00,2652
inheritor_2653,徐竹初,男,汉族,VII-44,VII-44,VII-044_01_350600,漳州木偶头雕刻,传统美术,福建省漳州市,福建省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=2,2026-08-06T10:35:19+00:00,2653
