inheritor_id,name,project_code,child_num,province,match_status,matched_subitem_id,reason
inheritor_3039,邱昌明,VIII-72,VIII-072_01_330500,浙江省,matched,subitem_14395,child_num 精确匹配
inheritor_3040,周美洪,VIII-73,VIII-073_01_341021,安徽省,matched,subitem_14397,child_num 精确匹配
inheritor_3041,曹阶铭,VIII-74,VIII-074_01_341021,安徽省,matched,subitem_14400,child_num 精确匹配
inheritor_3042,程文,VIII-75,VIII-075_01_441200,广东省,matched,subitem_14402,child_num 精确匹配
inheritor_3043,崇德福,VIII-77,VIII-077_01_110102,北京市,matched,subitem_14404,child_num 精确匹配
inheritor_3044,王丽菊,VIII-77,VIII-077_01_110102,北京市,matched,subitem_14404,child_num 精确匹配
inheritor_3045,陈义时,VIII-78,VIII-078_01_321000,江苏省,matched,subitem_14407,child_num 精确匹配
inheritor_3046,彭措泽仁,VIII-80,VIII-080_01_513330,四川省,matched,subitem_14412,child_num 精确匹配
inheritor_3047,徐义林,VIII-81,VIII-081_01_320500,江苏省,matched,subitem_14414,child_num 精确匹配
inheritor_3048,李荣森,VIII-82,VIII-082_01_320500,江苏省,matched,subitem_14418,child_num 精确匹配
inheritor_3049,付占祥,VIII-83,VIII-083_01_230000,黑龙江省,matched,subitem_14421,child_num 精确匹配
inheritor_3050,尤文凤,VIII-85,VIII-085_01_230000,黑龙江省,matched,subitem_14425,child_num 精确匹配
inheritor_3051,郭承毅,VIII-88,VIII-088_01_320600,江苏省,matched,subitem_14433,child_num 精确匹配
inheritor_3492,路志正,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3493,王绵之,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3494,颜德馨,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3495,曹洪欣,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3496,吴咸中,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3497,陈可冀,IX-1,IX-001_01_110101,未知,matched,subitem_14767,child_num 精确匹配
inheritor_3498,邓铁涛,IX-2,IX-002_01_110101,未知,matched,subitem_14768,child_num 精确匹配
inheritor_3499,周仲瑛,IX-2,IX-002_01_110101,未知,matched,subitem_14768,child_num 精确匹配
inheritor_3500,王孝涛,IX-3,IX-003_01_110101a,未知,matched,subitem_14788,child_num 精确匹配
inheritor_3501,金世元,IX-3,IX-003_01_110101b,未知,matched,subitem_14789,child_num 精确匹配
inheritor_3502,颜正华,IX-4,IX-004_01_110101a,未知,matched,subitem_14796,child_num 精确匹配
inheritor_3503,张伯礼,IX-4,IX-004_01_110101b,未知,matched,subitem_14797,child_num 精确匹配
inheritor_3504,王雪苔,IX-5,IX-005_01_110101,未知,matched,subitem_14833,child_num 精确匹配
inheritor_3505,贺普仁,IX-5,IX-005_01_110108,未知,matched,subitem_14834,child_num 精确匹配
inheritor_3506,郭维淮,IX-6,IX-006_01_110101,未知,matched,subitem_14838,child_num 精确匹配
inheritor_3507,孙树椿,IX-6,IX-006_01_110101,未知,matched,subitem_14838,child_num 精确匹配
inheritor_3508,施杞,IX-6,IX-006_01_110101,未知,matched,subitem_14838,child_num 精确匹配
inheritor_3509,卢广荣,IX-7,IX-007_01_110105,北京市,matched,subitem_14852,child_num 精确匹配
inheritor_3510,金霭英,IX-7,IX-007_01_110105,北京市,matched,subitem_14852,child_num 精确匹配
inheritor_3511,关庆维,IX-7,IX-007_01_110105,北京市,matched,subitem_14852,child_num 精确匹配
inheritor_3512,田瑞华,IX-7,IX-007_01_110105,北京市,matched,subitem_14852,child_num 精确匹配
inheritor_3513,冯根生,IX-8,IX-008_01_330102,浙江省,matched,subitem_14853,child_num 精确匹配
inheritor_3514,强巴赤列,IX-9,IX-009_01_540100,西藏自治区,matched,subitem_14855,child_num 精确匹配
inheritor_3515,尼玛次仁,IX-9,IX-009_01_540100,西藏自治区,matched,subitem_14855,child_num 精确匹配
inheritor_3516,索朗其美,IX-9,IX-009_01_540100,西藏自治区,matched,subitem_14855,child_num 精确匹配
inheritor_3517,嘎务,IX-9,IX-009_01_540100,西藏自治区,matched,subitem_14855,child_num 精确匹配
inheritor_3518,多吉,IX-9,IX-009_01_540100,西藏自治区,matched,subitem_14855,child_num 精确匹配
inheritor_3519,唐卡·昂翁降措,IX-9,IX-009_01_513300,四川省,matched,subitem_14854,child_num 精确匹配
inheritor_3520,格桑尼玛,IX-9,IX-009_01_513300,四川省,matched,subitem_14854,child_num 精确匹配
inheritor_839,辛里生,II-2,II-002_01_140930,山西省,matched,subitem_12409,child_num 精确匹配
inheritor_840,吕桂英,II-2,II-002_01_140930,山西省,matched,subitem_12409,child_num 精确匹配
inheritor_841,巴德玛,II-3,II-003_01_150000,内蒙古自治区,matched,subitem_12410,child_num 精确匹配
inheritor_842,额日格吉德玛,II-3,II-003_01_150000,内蒙古自治区,matched,subitem_12410,child_num 精确匹配
inheritor_843,莫德格,II-3,II-003_01_150000,内蒙古自治区,matched,subitem_12410,child_num 精确匹配
